	A	B	C	D	E	F	G	H	I	J
c5461	3	0	0	0	0	3	0	0	0	0
c5462	0	0	5	0	0	0	1	0	0	0
c5542	1	0	1	2	0	1	2	0	0	0
c5482	0	5	1	0	1	0	0	0	0	0
c5431	0	0	0	0	0	0	0	1	0	0
c5429	0	0	1	1	0	3	5	0	0	4
c5430	11	0	4	0	0	0	1	0	0	0
c5479	2	0	0	0	0	0	1	1	0	1
c5478	0	0	0	8	2	0	0	0	0	0
c5442	0	0	3	0	2	0	0	0	0	0
c5494	0	0	0	0	0	0	1	3	0	0
c5443	11	0	0	0	0	1	0	1	0	1
c5526	3	4	0	1	14	1	0	0	0	0
c5495	0	0	4	1	0	0	0	0	0	0
c5496	0	0	0	2	0	0	0	1	0	0
c5422	0	0	0	0	1	0	0	0	0	0
c5503	4	3	0	0	0	1	1	0	0	0
c5425	0	4	8	0	4	0	0	0	2	0
c5528	2	0	1	2	2	2	0	0	1	0
c5536	1	0	0	2	0	0	1	1	0	0
c5463	0	1	0	2	0	0	3	0	4	1
c5464	0	1	9	0	0	2	2	2	0	0
c5438	0	0	3	2	0	1	0	0	0	0
c5505	0	0	2	0	0	0	1	0	0	0
c5242	2	0	0	0	1	0	0	0	1	0
c4996	0	0	0	0	1	0	2	0	3	3
c5164	0	2	0	3	1	0	0	1	4	0
c5192	0	4	1	0	0	0	1	2	1	0
c5317	1	19	0	3	2	2	0	1	0	0
c5318	1	0	10	0	0	1	0	2	1	0
c5012	0	0	3	1	2	0	3	1	0	0
c5371	0	0	1	0	15	0	0	0	1	0
c4971	0	0	0	0	1	0	0	5	0	1
c5249	3	0	0	0	1	0	0	0	1	2
c5250	0	2	6	0	0	1	1	0	0	0
c5028	0	1	0	2	2	0	0	0	0	0
c5153	2	0	0	1	0	0	1	1	0	0
c5154	2	0	0	0	0	1	1	0	0	2
c5008	11	2	0	0	0	2	2	0	0	0
c5337	1	0	3	0	0	1	0	0	0	0
c5066	0	0	0	3	0	0	1	2	1	0
c4929	0	8	1	0	0	0	0	4	0	0
c5162	0	0	0	0	0	0	0	0	0	1
c5181	0	0	1	0	1	2	1	0	0	5
c5182	3	0	0	2	2	2	0	1	1	0
c5195	0	0	0	1	6	0	0	0	0	5
c4909	1	0	1	0	0	0	2	0	1	1
c4910	0	1	0	0	0	0	1	2	4	2
c4940	2	1	0	2	0	1	0	0	0	0
c5311	1	12	0	0	3	4	1	2	0	0
c5041	1	0	0	2	2	1	6	0	0	0
c5308	0	0	0	9	0	1	0	1	2	0
c4956	1	1	0	2	0	1	0	0	0	0
c5174	0	0	0	0	3	0	2	4	0	7
c5078	0	1	0	0	4	0	0	1	0	0
c5072	0	1	0	10	0	0	0	0	1	8
c5274	0	1	5	4	0	0	3	0	0	2
c5118	0	0	6	2	1	0	0	0	2	2
c5233	0	1	0	0	1	0	0	3	1	0
c5234	0	1	1	0	0	0	0	0	0	0
c5401	0	0	0	0	0	7	0	3	0	3
c5169	4	0	1	1	0	3	0	0	0	0
c5053	2	3	0	0	1	0	0	0	0	0
c5026	6	0	7	2	0	0	1	0	0	0
c5376	2	0	1	3	1	1	0	3	0	5
c5232	3	1	0	0	0	0	0	1	0	0
c5316	0	1	3	2	1	0	0	0	2	1
c5396	0	1	0	0	0	0	0	0	0	0
c5313	0	0	0	9	0	17	1	0	1	0
c5314	1	0	1	0	1	2	0	0	0	2
c4911	2	18	0	1	1	2	0	0	0	2
c5040	1	1	6	2	8	0	1	0	4	0
c5189	8	0	0	12	1	0	1	2	0	0
c5009	0	3	0	0	0	1	0	1	1	0
c5321	0	0	15	0	1	0	0	0	0	0
c4983	1	0	0	3	0	1	1	0	0	2
c4984	0	0	0	1	4	0	0	0	0	2
c5207	3	0	0	4	0	1	0	1	5	1
c5208	1	1	0	0	2	5	0	0	2	1
c4921	0	1	1	0	2	1	0	2	8	0
c4922	0	2	0	0	0	1	0	0	1	0
c5103	0	0	0	0	8	0	0	3	0	0
c5104	3	1	4	0	0	0	0	1	2	0
c5299	0	0	2	2	0	2	0	0	0	0
c5300	2	0	1	5	0	0	0	2	0	0
c5330	2	0	3	1	1	4	2	0	0	1
c5343	0	0	1	0	0	0	0	0	0	1
c5346	1	0	1	0	4	0	6	1	1	1
c5051	1	0	3	0	0	2	0	3	0	0
c4936	0	0	0	0	2	2	0	1	0	0
c5285	1	0	1	0	2	0	0	0	1	1
c5017	0	0	1	0	0	0	3	0	0	0
c5296	1	0	5	0	3	0	0	0	0	1
c5080	0	0	0	0	0	0	0	0	1	0
c4969	3	1	0	0	3	0	0	0	0	1
c5002	0	6	0	0	0	1	2	0	0	0
c5327	0	1	0	1	1	0	0	0	0	0
c5083	0	2	0	1	4	1	0	2	2	6
c5084	0	0	1	0	3	0	0	0	0	3
c5131	1	0	4	1	1	0	0	1	0	0
c5132	0	2	1	18	0	0	0	0	0	0
c5144	0	0	0	0	0	0	0	0	2	0
c5357	0	0	0	0	5	0	0	0	1	0
c5358	0	1	0	0	0	0	0	0	0	2
c5127	1	3	0	0	0	3	0	1	2	0
c5128	0	0	3	0	0	1	2	0	0	0
c4985	0	0	0	23	4	3	1	0	2	5
c5325	0	0	0	0	2	0	0	0	1	0
c5055	0	0	0	0	0	0	0	1	0	3
c5303	1	0	5	0	1	0	1	0	5	2
c5383	0	0	0	0	0	0	0	1	0	0
c5384	1	0	0	0	3	0	0	0	2	2
c5151	0	0	1	1	0	0	0	1	1	0
c4923	0	0	1	2	1	1	0	1	1	0
c5264	0	0	0	0	0	1	1	0	0	1
c5157	0	0	0	0	0	0	0	0	4	1
c5365	0	0	2	1	2	0	4	0	0	1
c5238	0	0	1	2	1	0	1	6	0	2
c4917	0	0	0	1	0	0	0	0	2	0
c5206	4	6	0	0	1	0	3	0	7	3
c5168	4	0	0	4	0	0	0	3	0	0
c5109	0	0	1	0	7	3	0	1	0	0
c4944	4	0	4	0	1	0	0	0	1	0
c5281	0	0	2	2	0	0	0	2	0	0
c4902	4	1	0	0	0	0	0	0	2	0
c5176	0	0	2	0	8	0	0	0	0	3
c5251	1	4	0	0	2	0	3	2	0	0
c5148	0	0	0	2	1	1	0	0	0	1
c5197	0	3	2	0	0	0	0	0	0	1
c4898	4	0	0	0	0	0	0	0	0	0
c4906	1	0	1	3	0	0	2	0	0	2
c5269	0	4	0	0	3	0	4	0	0	1
c4946	3	6	0	0	0	1	0	0	0	0
c5399	0	0	2	0	0	2	0	0	0	2
c4961	0	0	6	0	0	0	0	0	0	0
c4974	0	0	0	0	0	0	0	0	0	0
c5220	9	0	0	0	13	0	2	3	2	0
c5353	3	0	1	1	0	0	3	0	0	0
c4991	0	7	0	1	2	0	1	1	1	1
c4976	5	0	0	0	0	0	2	0	1	0
c5267	0	0	0	0	0	0	0	3	0	0
c4947	0	1	0	0	2	2	1	0	1	0
c5406	0	9	1	0	0	0	0	0	0	0
c5222	1	2	0	0	1	1	0	0	0	2
c5247	0	1	0	0	0	1	0	0	1	0
